start_time,end_time,category,selected_image,jitter_var,correct,target,distractor
142.704,143.385,2,3,"[(1.02, -5), (1.09, 0), (1.05, -10), (1.06, 5)]",True,img5,img6
143.96,144.645,2,3,"[(0.95, 0), (0.96, 5), (0.93, 5), (1.06, 10)]",True,img2,img5
145.2,145.854,4,2,"[(0.95, 0), (0.98, 0), (0.9, 0), (0.91, -5)]",True,img10,img3
147.705,148.481,1,1,"[(0.96, 0), (1.09, -5), (0.98, -10), (0.93, -10)]",False,img7,img2
150.03,150.64,5,3,"[(1.04, -10), (0.96, 10), (1.06, 10), (1.05, 10)]",True,img7,img8
151.184,151.633,2,3,"[(0.91, 10), (1.06, 0), (0.91, -5), (1.06, 10)]",True,img4,img1
154.896,155.404,1,1,"[(0.96, 5), (1.01, 10), (1.01, -10), (1.07, -10)]",True,img6,img4
156.019,156.722,2,2,"[(1.03, 5), (1.06, 0), (0.9, 5), (1.05, -5)]",False,img6,img9
158.279,158.889,1,1,"[(1.07, 5), (1.04, 0), (0.91, -5), (1.06, 10)]",False,img10,img8
160.446,161.04,5,3,"[(0.92, 5), (1.04, -5), (1.07, 5), (0.99, -5)]",True,img5,img3
163.342,164.034,2,3,"[(1.1, 5), (1.05, -10), (1.04, 10), (1.1, 5)]",True,img1,img10
165.97,166.429,4,1,"[(0.97, 5), (1.03, 5), (0.98, 10), (1.07, -10)]",True,img7,img8
167.091,167.798,5,3,"[(0.98, -10), (0.96, 10), (0.96, -5), (0.9, 10)]",True,img9,img10
168.363,169.05,1,3,"[(1.08, -10), (1.02, -10), (1.1, -10), (0.95, 0)]",False,img3,img7
170.599,171.209,4,3,"[(1.02, 10), (1.05, 5), (0.96, 10), (1.07, 0)]",False,img6,img1
172.769,173.629,4,2,"[(1.07, -5), (1.03, -5), (0.98, 0), (1.06, 5)]",False,img8,img2
175.197,175.831,1,1,"[(1.09, 10), (0.91, 5), (0.96, -10), (1.06, 5)]",False,img9,img7
177.398,178.017,5,1,"[(0.91, 0), (0.9, -5), (1.07, -10), (1.0, -10)]",True,img4,img3
178.894,179.597,4,2,"[(1.1, 0), (0.92, 5), (0.93, 0), (0.92, 0)]",True,img6,img2
180.155,180.593,5,1,"[(1.05, 0), (1.05, 0), (0.93, 10), (0.93, -5)]",True,img10,img8
181.158,181.909,2,2,"[(0.91, 0), (1.06, -5), (1.09, -5), (0.98, 10)]",True,img1,img9
